Id,x,y,comment_class
99,37.566431,55.731794,-1
100,37.580104,55.740274,-1
101,37.589311,55.734273,-1
102,37.558526,55.728758,-1
103,37.566431,55.731794,-1
104,37.589311,55.734273,-1
105,37.558526,55.728758,-1
106,37.566431,55.731794,-1
107,37.589311,55.734273,-1
108,37.558526,55.728758,-1
109,37.566431,55.731794,-1
110,37.589311,55.734273,-1
111,37.558526,55.728758,-1
112,37.566431,55.731794,-1
113,37.589311,55.734273,-1
114,37.558526,55.728758,-1
115,37.566431,55.731794,-1
116,37.589311,55.734273,-1
117,37.558526,55.728758,-1
118,37.566431,55.731794,-1
119,37.589311,55.734273,-1
120,37.558526,55.728758,-1
121,37.566431,55.731794,-1
122,37.589311,55.734273,-1
123,37.558526,55.728758,-1
124,37.566431,55.731794,-1
125,37.589311,55.734273,-1
126,37.558526,55.728758,-1
127,37.566431,55.731794,-1
128,37.589311,55.734273,-1
129,37.558526,55.728758,-1
130,37.566431,55.731794,-1
131,37.589311,55.734273,-1
132,37.558526,55.728758,-1
133,37.566431,55.731794,-1
134,37.589311,55.734273,-1
135,37.558526,55.728758,-1
136,37.566431,55.731794,-1
137,37.557511,55.729863,-1
138,37.558526,55.728758,-1
139,37.557745,55.730674,-1
140,37.564078,55.734273,-1
141,37.566431,55.731794,-1
142,37.616243,55.733229,1
143,37.537146,55.68263,-1
144,37.590973,55.759532,-1
145,37.591952,55.760109,-1
146,37.537146,55.68263,-1
147,37.603783,55.786966,-1
148,37.558526,55.728758,-1
149,37.566431,55.731794,-1
150,37.557745,55.730674,-1
151,37.589311,55.734273,1
152,37.566431,55.731794,1
153,37.566431,55.731794,-1
154,37.566431,55.731794,-1
155,37.597396,55.766704,-1
156,37.596713,55.765944,-1
157,37.596642,55.766162,-1
158,37.566431,55.731794,-1
159,37.558526,55.728758,-1
160,37.55964,55.768831,-1
161,37.589311,55.734273,-1
162,37.589311,55.734273,-1
163,37.566431,55.731794,-1
164,37.589311,55.734273,-1
165,37.558526,55.728758,-1
166,37.566431,55.731794,-1
167,37.558526,55.728758,-1
168,37.589311,55.734273,-1
169,37.566431,55.731794,-1
170,37.566431,55.731794,1
171,37.558526,55.728758,1
172,37.589311,55.734273,1
173,37.589311,55.734273,-1
174,37.558526,55.728758,-1
175,37.566431,55.731794,-1
176,37.588916,55.741982,-1
177,37.589311,55.734273,-1
178,37.558526,55.728758,-1
179,37.566431,55.731794,-1
180,37.566431,55.731794,-1
181,37.558526,55.728758,-1
182,37.589311,55.734273,-1
183,37.558526,55.728758,-1
184,37.589311,55.734273,-1
185,37.566431,55.731794,-1
186,37.566431,55.731794,-1
187,37.558526,55.728758,-1
188,37.589311,55.734273,-1
189,37.589311,55.734273,1
190,37.558526,55.728758,1
191,37.566431,55.731794,1
192,37.589311,55.734273,-1
193,37.558526,55.728758,-1
194,37.566431,55.731794,-1
195,37.558526,55.728758,1
196,37.589311,55.734273,1
197,37.566431,55.731794,1
198,37.566431,55.731794,-1
199,37.558526,55.728758,-1
200,37.589311,55.734273,-1
201,37.589311,55.734273,1
202,37.558526,55.728758,1
203,37.566431,55.731794,1
204,37.566431,55.731794,-1
205,37.604879,55.840548,-1
206,37.558526,55.728758,-1
207,37.589311,55.734273,-1
208,37.589311,55.734273,-1
209,37.558526,55.728758,-1
210,37.566431,55.731794,-1
211,37.566431,55.731794,-1
212,37.604879,55.840548,-1
213,37.558526,55.728758,-1
214,37.589311,55.734273,-1
215,37.589311,55.734273,-1
216,37.558526,55.728758,-1
217,37.566431,55.731794,-1
218,37.589311,55.734273,-1
219,37.558526,55.728758,-1
220,37.566431,55.731794,-1
221,37.566431,55.731794,1
222,37.558526,55.728758,1
223,37.589311,55.734273,1
224,37.589311,55.734273,-1
225,37.566431,55.731794,-1
226,37.589311,55.734273,1
227,37.558526,55.728758,1
228,37.566431,55.731794,1
229,37.566431,55.731794,-1
230,37.558526,55.728758,-1
